x,y
236.653,327.0898
194.3978,326.0162
259.8372,248.0805
226.8889,247.9684
250.0591,284.8922
150.8332,325.2962
212.5499,284.4573
264.078,559.0171
200.0687,371.8069
252.0489,529.8408
215.2699,496.6622
190.1818,434.7816
239.4525,558.4536
240.5548,497.4984
226.8582,528.8626
278.4934,592.0142
252.9822,591.4234
193.8593,246.578
203.2453,468.859
237.9175,65.73
205.3482,66.39568
165.5268,371.4008
250.0454,284.9626
162.5902,37.20055
191.9884,100.3307
242.9921,468.1222
130.6977,169.2799
265.4349,620.8797
174.3328,284.4538
292.5059,248.519
225.0526,99.98273
212.6144,284.3627
157.6522,100.819
277.8171,651.5165
159.7147,243.9291
136.5978,284.5026
286.0407,285.2351
143.9681,134.6983
189.9019,35.50673
193.8591,246.0561
256.7415,98.42694
126.4731,244.1485
176.1635,208.798
278.1353,652.5645
221.9518,33.6552
277.7844,210.327
224.8253,99.62014
157.7029,100.6243
136.1266,284.1402
136.34,207.9844
160.0055,247.4404
160.326,170.6602
192.5085,170.4558
148.7139,74.91286
277.1131,132.6518
256.307,98.29134
258.1275,167.976
69.07581,178.7981
225.2525,170.179
209.7972,209.2171
63.8404,200.5088
92.39594,201.7115
242.2798,205.9426
176.8759,131.9981
273.2519,133.7086
240.4618,134.1922
94.59548,177.8369
207.9626,134.9221
274.5755,207.1977
124.2619,704.1714
174.9078,134.6286
63.2447,200.7916
272.7754,532.4804
131.143,712.5446
138.9047,699.8248
260.9037,169.9916
290.9897,170.7127
248.9427,659.7697
83.70707,364.2326
244.0913,208.8699
138.0432,626.3535
187.9434,31.99703
126.1018,57.15999
126.14,360.5453
209.7566,132.2847
287.8549,621.8069
259.9803,684.7382
287.9772,617.2371
108.1177,640.4484
163.1602,739.3824
138.3843,720.9243
155.0471,733.8815
133.9125,588.8298
146.5768,727.2349
68.98794,338.2677
111.0934,636.0333
171.5936,214.8449
259.0182,688.0519
118.9772,669.9073
171.3442,743.8492
227.4566,168.0646
121.5398,363.3142
120.0076,338.5513
194.1725,167.2395
133.1177,703.223
107.0748,338.2295
243.3303,132.5499
234.9736,626.6957
113.0921,335.7008
142.3332,621.4746
88.13377,361.0704
160.5318,715.2604
103.8662,601.8662
114.3311,360.7855
108.3597,602.0969
193.2848,704.4952
75.45683,360.2446
202.7489,725.4886
223.0064,664.7077
78.19944,190.401
195.2016,718.754
210.8454,207.3597
101.9272,640.2235
99.18387,605.3986
192.3111,748.6702
191.1517,750.8143
231.7458,648.3244
193.8093,741.8907
170.1863,672.9528
238.284,656.6191
250.9384,705.1714
220.977,663.3182
232.7886,637.0728
189.7579,718.9335
137.1426,709.5814
114.6275,223.1074
115.2301,266.4957
52.37233,272.4152
103.0971,561.0229
53.18659,282.5747
172.1968,670.239
239.7644,656.2134
193.3925,678.7741
226.9605,642.066
109.3139,443.7913
81.91689,338.357
240.9425,649.4144
203.6784,676.9969
240.1767,702.8203
93.99685,230.5176
115.212,188.2669
188.538,679.8184
118.2399,682.4133
137.0942,206.9332
193.6835,194.5638
139.1534,394.5204
89.44367,259.5642
146.7978,443.7993
216.0993,720.1605
85.23739,230.4633
116.1375,683.8264
146.2966,439.2104
183.2268,680.5869
60.23634,313.0917
58.90599,308.3671
141.7237,327.7314
107.8484,432.9799
144.0524,419.128
136.5279,494.127
85.12708,256.4745
52.52572,277.4686
103.7799,417.2082
85.1601,261.6311
56.45111,259.4531
98.77906,277.2263
136.0895,519.0923
242.9004,157.1958
52.12332,257.2565
62.34437,215.5655
227.3723,194.827
143.615,409.0635
85.26307,225.6377
127.8033,680.7092
123.6669,146.5
140.8204,518.2356
141.918,454.9635
193.7193,223.0264
55.54567,275.5918
86.40536,271.9424
184.8368,690.9329
127.4619,308.2276
90.2497,269.3715
231.3031,662.7147
145.0824,454.5512
209.398,156.8002
84.55274,251.5475
225.0748,653.2611
109.2753,507.9086
96.85852,261.7984
93.82116,215.2007
225.737,728.3954
66.3872,298.1239
144.4364,434.112
89.84543,287.2149
192.167,730.7394
225.4496,147.6919
146.7441,429.143
177.083,660.0872
123.4541,712.4839
225.0415,120.8253
57.74439,233.513
144.2822,182.7149
51.95703,252.117
90.32894,233.2722
140.7765,729.3784
138.1888,419.3212
109.9194,313.8372
105.7059,303.0971
123.5534,379.5031
90.02601,227.561
146.5687,434.0396
142.9566,713.7504
87.10648,276.901
132.4263,404.6937
145.2375,156.7375
88.19817,253.8031
122.2867,663.0258
106.3643,190.7355
189.7722,692.6864
151.9137,649.5493
182.6411,754.5132
140.5296,493.0356
124.8655,672.1309
60.22274,210.8258
143.407,414.217
111.7911,467.7227
137.22,528.9687
52.53692,267.4924
109.0689,513.4557
139.8335,656.1982
102.7759,352.1412
198.7116,678.0457
61.5934,210.763
66.50646,293.2019
256.6779,697.9205
156.7151,222.9471
95.79018,256.5735
63.11286,305.5579
156.6264,192.5665
112.0153,457.4601
210.8057,655.8499
99.76992,666.4868
141.7729,434.3876
86.15345,266.7383
149.2526,735.9429
104.2359,298.0965
109.2474,502.7839
103.3897,561.3368
90.68324,345.8739
53.60902,287.6436
61.34225,262.4028
141.3738,479.2717
211.2369,693.6927
91.56097,297.3289
135.4816,524.2889
228.2901,631.6627
98.65128,657.5792
112.64,692.4269
158.1571,708.2442
62.20853,318.1817
136.5209,504.1032
57.69238,303.2614
98.0638,272.6133
111.727,462.7505
133.4199,379.477
176.6012,156.3474
83.89403,241.3659
141.8028,507.9314
53.20594,241.6469
63.31083,277.6148
104.812,566.1158
91.11707,292.2494
92.35757,279.3404
191.9894,147.6208
165.8401,746.9848
139.0834,429.5602
155.4947,270.0945
99.77306,318.1893
94.84508,246.4136
60.5631,241.5174
56.56474,249.5902
108.9344,683.0971
94.70047,251.5338
61.63277,267.4951
174.6508,750.3234
160.1946,147.3169
195.9124,738.6597
109.9056,665.8914
109.6666,491.4561
159.0856,121.0386
82.35065,372.7497
142.933,259.0874
54.3842,292.8949
207.1785,683.2008
52.06157,262.4402
139.3092,399.2855
194.0002,193.3758
102.1589,556.9866
95.50402,307.8345
259.145,146.4991
260.735,638.0787
132.4343,399.7578
139.4062,553.7527
108.6108,533.0923
197.9766,690.9017
137.9302,521.8294
190.9743,120.9908
54.65121,241.5559
108.2879,521.8548
143.035,230.8678
258.5221,695.6704
199.831,704.7863
56.33273,298.0151
145.5218,424.0608
259.4354,120.6986
208.7876,675.3832
140.9225,476.0204
201.4115,688.5118
107.3886,533.1805
241.3844,110.7988
146.4117,655.3742
84.59005,246.5418
118.0228,622.579
134.7213,106.8702
161.0512,723.9056
142.096,503.142
64.9839,311.08
109.554,497.0939
153.7177,299.072
89.35531,282.3131
141.8762,671.1588
211.2066,234.0311
147.0433,659.0626
60.71212,246.5191
136.269,514.3137
186.1979,693.476
105.0096,422.1085
96.29416,266.5208
136.6219,498.7838
121.3194,531.525
178.5856,232.6154
144.0725,580.1373
138.6585,424.5504
111.8838,318.6325
237.1993,638.4597
63.62378,282.5501
93.98293,375.8514
140.2702,533.0581
52.49803,246.702
107.8331,565.2479
80.20433,161.3352
209.3155,183.8287
99.72476,282.3786
277.4922,632.4609
62.39222,220.5119
104.0584,566.9269
140.4,523.0558
93.80102,219.8068
109.2513,112.7491
203.4348,735.2001
190.7371,147.089
115.958,370.0124
146.8172,464.5519
260.2492,698.2585
194.235,270.2101
144.1608,464.6502
110.6948,521.3597
114.7753,377.0961
87.56036,243.5543
142.4328,662.2974
106.8929,417.1698
195.8102,692.7278
167.0904,682.453
74.46527,300.6682
127.1374,533.6677
137.3998,508.8311
103.9949,676.3277
132.3843,545.2781
177.5613,259.9222
118.1049,86.98676
100.7499,572.4553
261.8878,668.0873
228.768,223.9028
120.5479,477.2002
111.5032,404.2527
208.2327,111.5231
56.87554,220.718
117.5347,575.9475
62.79881,350.4464
142.7181,464.9588
113.5098,177.2833
62.47378,272.3761
179.256,45.8212
146.9088,315.6512
218.6589,673.5104
132.1835,348.1369
102.868,292.7659
138.3018,414.3784
201.6072,692.0876
223.4207,671.5984
173.5341,685.5027
143.1833,457.5665
243.5875,183.0714
139.6493,558.5471
112.6484,441.1904
276.9674,609.9805
133.9674,295.0079
160.7755,147.788
160.4125,725.3885
70.37713,308.2104
122.7129,487.3682
112.4949,581.2675
94.45741,241.08
57.30674,187.4424
174.769,25.01615
97.59643,295.4456
196.0531,670.8933
141.6607,513.1221
195.7446,680.256
244.0442,233.5361
230.4442,270.7019
88.83828,210.2811
62.19707,212.5549
112.2784,451.539
166.1602,710.0958
265.8931,602.5491
137.6309,371.865
153.627,435.9303
148.7794,314.3958
110.5399,107.8805
125.4263,647.0446
111.536,437.781
132.3742,540.4554
101.3793,287.5106
145.153,565.0775
134.2905,685.2204
67.69093,243.8727
129.4127,507.631
122.7825,481.6738
113.8444,561.6898
124.9951,554.7623
53.5626,207.7644
94.38843,210.385
115.4822,579.5095
98.15818,430.256
99.50678,589.112
147.123,524.9208
102.247,310.6155
59.95774,319.9564
68.3296,227.9789
252.3269,547.842
102.3053,248.6365
140.7104,449.7965
123.8119,580.0278
164.142,80.73577
138.3669,473.3585
141.1102,72.23737
152.7921,461.3937
153.3363,446.1793
211.0277,261.0566
144.0027,449.3893
56.53445,285.0986
124.2838,569.7905
113.7942,592.5048
118.353,501.8772
123.2361,604.0494
261.9961,541.6492
127.6459,483.1131
111.5798,473.5933
145.743,717.3702
120.4278,105.0369
210.5363,803.64
67.59799,303.2933
113.1571,577.9769
67.75838,249.1213
249.4552,611.9745
190.5668,119.4786
163.6058,696.1208
141.8076,468.2004
177.1553,731.1971
238.8347,539.8891
102.0266,243.415
146.6217,539.7466
137.5126,390.0218
105.8106,570.9138
68.12408,254.1232
124.2439,493.4589
152.0829,721.9594
78.65131,154.3674
