x,y
153.4693,208.3778
168.9522,175.085
263.2538,671.7178
211.7444,291.4964
145.4521,285.7923
196.9465,250.2124
156.4341,247.3985
184.5505,140.2778
177.7892,288.6052
239.7069,416.4697
217.9398,141.5981
202.6252,112.5931
182.8284,443.0519
249.449,515.7538
252.5498,640.8603
278.1609,642.1313
235.4474,446.8054
246.2824,545.3057
267.8016,180.3195
230.8971,252.6895
283.4448,216.4915
150.7266,324.0997
250.3155,214.1139
266.4079,608.2834
256.0258,578.3132
209.6096,514.2017
251.7492,143.5133
193.5267,77.29762
233.8865,178.7968
199.9855,176.5414
238.9604,480.8312
177.2631,113.2228
244.8514,294.5764
229.5633,575.4469
233.3335,112.9205
216.6461,211.5662
241.2159,607.1552
267.213,331.7676
189.6376,326.1618
219.3181,543.0674
198.3239,479.2289
182.6419,210.0612
264.7189,255.5214
174.4799,413.7025
278.6298,296.6214
228.1022,327.8443
229.5768,575.7319
272.8401,702.8449
211.8093,414.639
217.0872,47.25504
150.318,324.8235
217.109,74.25138
159.7772,365.0029
168.8686,77.36527
263.0977,118.2769
208.7554,367.4735
250.2268,370.9064
155.3691,93.73385
274.2204,581.7238
136.9402,770.8204
144.9544,777.5549
122.1049,755.7056
115.8412,747.1566
202.9142,50.36649
280.4123,370.1107
129.3074,763.4466
153.864,362.8676
265.3612,549.5096
164.8495,367.5556
116.1919,213.702
93.91093,401.1393
110.1556,738.386
152.8251,783.778
110.2667,241.6909
240.0775,369.6505
198.1497,366.1516
132.0222,403.3684
261.432,370.9619
142.1024,321.0436
124.2318,736.5421
204.6867,288.6436
137.3653,748.8029
130.4638,743.1913
149.0536,244.4812
185.0917,286.7062
130.8446,306.5441
81.98646,237.4554
134.6677,672.1489
105.4267,728.9178
159.439,321.9682
169.8032,285.9992
250.6708,373.9545
103.6018,682.5613
145.2662,331.4996
193.2245,303.9386
160.6435,253.6684
228.1212,306.6293
181.6261,295.692
89.56205,214.7983
208.4523,370.8972
270.9631,337.7109
136.7238,401.365
106.8976,237.9225
132.0694,630.5648
81.56484,239.1636
96.81493,398.7758
159.062,300.9961
161.8564,271.9788
118.1914,376.8474
251.7808,362.8982
115.7181,237.9486
81.47783,241.8902
111.3639,553.0176
124.6147,746.338
196.2454,274.6619
210.2174,315.0981
304.4777,327.2896
172.4613,312.0596
123.165,374.8263
139.1363,665.2399
262.1714,308.97
84.70112,373.1528
101.6551,642.0051
140.3434,349.8069
283.4759,671.9808
151.63,770.0647
202.3228,65.93533
247.7753,316.6657
133.5594,262.9395
233.193,674.1858
109.8957,216.498
83.33701,370.0934
183.8492,187.9535
85.10876,397.2543
200.0308,197.3288
167.5452,195.9946
185.936,764.7894
175.8068,264.1638
108.3696,575.1012
178.0879,233.4428
110.3922,563.5365
114.2924,529.9375
179.5531,797.3112
230.3858,277.8635
80.9735,242.5619
185.5749,749.5587
217.9263,123.6774
122.7728,398.7691
234.8064,675.3327
80.09523,374.9523
160.8829,292.5649
107.4543,590.874
147.0806,497.1602
165.7259,222.0791
178.8599,787.6516
234.1334,199.434
180.7036,795.3682
249.8726,381.231
81.01412,246.6948
110.4175,557.3873
252.8747,731.8031
216.7199,189.344
246.6155,344.9904
75.97277,277.749
136.6038,226.562
285.6343,346.8365
229.7765,353.6164
105.7203,291.5623
266.0354,590.0692
176.1978,76.94419
201.8528,131.5153
246.5502,269.9508
270.7559,356.973
74.02147,327.5402
235.6097,709.7767
217.8882,100.0684
188.7719,122.6112
106.1698,281.5276
210.9498,51.45257
145.6347,466.4566
215.9905,712.5352
146.4661,476.8907
218.6197,713.3209
264.598,652.7322
147.03,185.6296
178.2231,75.2798
203.5579,722.6556
185.7513,351.6992
265.9428,628.7134
141.0641,535.9517
198.6188,723.5211
175.2738,702.3811
108.9458,323.3427
74.28597,337.3029
164.8026,716.2607
117.4219,503.5373
204.8249,90.42569
208.8807,341.9661
243.6788,565.2468
168.6977,340.5089
148.4715,441.3036
114.4498,535.3292
241.4915,588.2252
160.8746,719.1479
252.9552,620.3699
78.33262,261.9384
144.5426,535.2418
79.20858,256.7176
148.0619,499.6366
95.45782,705.9169
140.0966,566.287
184.3437,768.6705
189.0925,99.14317
195.4146,727.6093
226.2651,705.2313
250.7452,238.2829
185.0807,787.613
214.7041,710.143
254.3648,596.3317
266.5242,585.2801
231.5116,556.162
184.4395,162.6401
105.9792,307.539
211.3777,708.1351
74.95473,288.4021
114.6995,247.3028
74.61732,293.4519
234.7214,132.4387
265.4787,230.1187
105.4709,247.315
114.1957,523.6844
201.5956,731.951
150.6807,451.3627
76.59129,272.563
200.6955,769.3427
75.46249,355.2874
73.71771,311.4762
257.2233,552.0921
138.1625,566.5462
79.95948,251.6142
72.73451,340.0206
120.2775,723.038
71.20463,324.489
129.7975,755.2283
79.88774,335.3322
228.2541,667.9111
208.0565,706.4575
116.132,705.085
72.92372,298.4409
105.4122,297.3286
249.9016,125.1798
117.8624,497.8094
162.3291,131.1638
204.7803,65.83018
213.9337,259.4756
74.535,298.4352
247.5562,661.1049
255.4599,691.2935
77.33144,267.2398
137.2416,430.477
266.7771,583.0997
232.3098,227.0276
142.1288,555.8766
137.4934,561.891
211.3345,53.99944
113.4989,390.6864
147.659,507.3085
182.91,726.3773
190.8446,337.277
104.7737,607.1979
198.8455,64.89055
140.2334,546.2106
151.4907,461.3616
172.1455,726.5981
76.86324,324.4964
139.0334,556.3264
117.8222,714.1625
83.57873,350.6792
187.5704,738.3882
105.3158,602.1023
145.1783,461.4519
118.2204,481.4544
139.7932,576.5423
256.8233,557.2275
108.547,346.2216
150.7169,466.2599
160.9493,147.7708
117.1053,509.1692
146.1272,507.4439
224.1098,690.0861
141.6312,550.9445
105.7665,275.6986
122.4762,197.2165
143.7117,456.3041
113.6754,362.0705
187.7814,726.5722
103.9281,325.477
202.6445,696.2939
151.529,456.337
152.7394,486.4938
208.4742,721.8529
101.0154,309.9756
148.3286,486.889
73.84843,285.4605
247.906,260.9316
96.0943,716.3002
193.5611,723.9222
104.9718,330.4464
120.0322,207.1219
156.7623,396.1549
141.9019,446.1628
79.38309,368.0612
70.96072,319.3487
271.896,355.5715
165.8989,786.4236
127.1735,633.7642
232.1189,693.5631
112.4345,357.0718
178.5998,88.65788
208.2724,380.017
143.1366,451.3711
146.5033,481.7915
124.1998,546.1537
117.7225,336.4798
136.828,762.8917
123.6448,192.1876
114.287,206.8686
141.0089,540.9493
110.9147,333.3857
134.6174,699.0158
134.816,760.4965
73.1166,344.9769
77.02563,319.5735
144.1576,768.7582
114.6392,321.1026
105.6175,440.2012
232.6474,526.3331
135.2429,612.7139
178.5817,93.22701
112.2307,299.3441
147.0838,492.1379
110.8639,565.7885
255.1183,738.8259
135.5813,145.4869
